Discription,Konstrukt 1,Konstrukt 2,Konstrukt 3,Konstrukt 4,Konstrukt 5
Old Mean,3.542955326460481,3.388316151202749,3.2508591065292096,2.670103092783505,3.3381443298969073
Old Std. Dev.,0.984786435967086,0.9967649991960493,1.0399036520652205,1.279403180378626,1.0036472969597707
Old Cronbachs Alpha,0.8857956438762836,0.8978761214136262,0.7950520101208884,0.962470522526995,0.8507654140001691
New Mean,3.6825396825396823,3.6825396825396823,3.6126984126984127,2.7111111111111112,3.5161904761904763
New Std. Dev.,1.033185808599771,0.9532799989309564,0.9607358395987651,1.1278735591510685,0.9082818745955581
New Cronbachs Alpha,0.886884862653419,0.8883542919628213,0.6632074063013289,0.9664169006461217,0.8329867214967352
New (no PT) Mean,3.6741573033707864,3.6104868913857677,3.602996254681648,2.6666666666666665,3.4561797752808987
New (no PT) Std. Dev.,1.057613179842705,0.9666549851498495,0.9713452639040452,1.1339720605937524,0.9318285824156131
New (no PT) Cronbachs Alpha,0.8892387479162807,0.8815147191348753,0.6492444948687532,0.9683002135760052,0.8304669585157389
new (PT) Mean,3.7291666666666665,4.083333333333333,3.6666666666666665,2.9583333333333335,3.85
new (PT) Std. Dev.,0.8836379191853541,0.759202798262025,0.8975274678557508,1.059841445164742,0.6726812023536854
new (PT) Cronbachs Alpha,0.8698481561822127,0.9269366197183099,0.7474662162162162,0.9581218274111676,0.7756024096385541
p-Value (t-test) New vs. Old,0.04484628452603356,0.00011735714788978432,5.5928885817297615e-06,0.3386113737222284,0.0016541966556192023
p-Value (t-test) (PT)  vs. Old,0.09596304076401038,2.0128284201691588e-07,0.002657177527701732,0.04897424307821186,2.1038724156994376e-08
p-Value (t-test) (PT) vs. New (no PT),0.35206093016942464,0.00016247842298564128,0.32970009564883207,0.04494936260642654,7.32202323310967e-06
p-Value (MWU) New vs. Old,0.026765313777859213,0.00022293599951824102,9.18799168669838e-06,0.3070248542643298,0.002895806899136264
p-Value (MWU) (PT)  vs. Old,0.1265557443470705,9.714447987838193e-07,0.004940451701924813,0.06709942748830579,7.877990193256285e-06
p-Value (MWU) (PT) vs. New (no PT),0.47169209250958877,0.000406839885633978,0.3470411006622892,0.06182787786241345,0.00024236051813943208
